HANDLE,Lon,Lat,Rating,SITEADDR,LANDUSE1,ASRUSE1,BDG1YEAR,BDG1EXWALL,MatchLevel
13618000200,-90.2392337,38.66686843,Very Heavy,4414 ELMBANK AV,1110,1110,1921,31,7
13710020440,-90.24497407,38.66757926,Moderate,4609-11 LABADIE AV,1120,1120,1925,31,8
14463000340,-90.23960579,38.66749464,Moderate,4433-7 ELMBANK AV,6911,5000,1930,42,7
13771000340,-90.25673026,38.65783373,Moderate,1225 WALTON AV,1120,1120,1905,31,10
13710020430,-90.24484883,38.66752424,Substantial to Heavy,4607 LABADIE AV,1120,1120,1897,31,8
14463000340,-90.23950982,38.66744676,Moderate,4433-7 ELMBANK AV,6911,5000,1930,42,9
13710020420,-90.24476139,38.6674841,Moderate,4603 LABADIE AV,1110,1110,1897,31,8
13771000350,-90.25675613,38.65775245,Negligible to Slight,1223 WALTON AV,1120,1120,1905,31,9
14463000110,-90.23938231,38.66796469,Very Heavy,4434 ASHLAND AV,1110,1110,1901,31,7
13710020410,-90.24460616,38.66744181,Substantial to Heavy,4563-5 LABADIE AV,1140,1140,1896,31,6
14463000120,-90.23918359,38.66793654,Very Heavy,4432 ASHLAND AV,1110,1110,1912,31,8
13771000160,-90.25779151,38.65758804,Moderate,1204 BAYARD AV,1010,1010,0,0,16
13771000190,-90.25736393,38.65755151,Moderate,1216 BAYARD AV,1010,1010,0,0,14
13710020090,-90.24417942,38.66795091,Negligible to Slight,4560 GREER AV,1110,1110,1955,31,9
13710020100,-90.24405818,38.66788739,Negligible to Slight,4556 GREER AV,1110,1110,1955,31,9
13710020110,-90.24392637,38.66782472,Negligible to Slight,4552 GREER AV,1110,1110,1955,31,8
14463000310,-90.23918875,38.66733826,Moderate,4423 ELMBANK AV,1010,1010,0,0,5
13771000430,-90.25681926,38.65709635,Moderate,1167 WALTON AV,1120,1120,1910,31,12
13710020120,-90.24380312,38.66776734,Negligible to Slight,4548 GREER AV,1110,1110,1955,31,8
13771000420,-90.25682889,38.65715797,Moderate,1201 WALTON AV,1120,1120,1922,31,11
14463000280,-90.23895378,38.66722938,Substantial to Heavy,4415 ELMBANK AV,1120,1120,1900,31,4
13710020130,-90.24365826,38.6677137,Negligible to Slight,4544 GREER AV,1110,1110,1955,31,9
13771000410,-90.25683038,38.6572435,Moderate,1205 WALTON AV,1120,1120,1908,31,10
14463000290,-90.23906011,38.66726638,Moderate,4417 ELMBANK AV,1120,1120,1893,31,5
13771000400,-90.256858,38.65733535,Moderate,1209 WALTON AV,1120,1120,1908,31,7
13710020380,-90.24427984,38.66725923,Negligible to Slight,4553 LABADIE AV,1110,1110,1902,31,10
13771000390,-90.25679801,38.65741399,Moderate,1211 WALTON AV,1110,1010,0,0,10
13710020370,-90.2441645,38.66721286,Negligible to Slight,4549 LABADIE AV,1110,1110,1902,31,8
13710020140,-90.24352142,38.66766143,Substantial to Heavy,4538 GREER AV,1110,1110,1911,31,9
13771000440,-90.25682291,38.65700764,Substantial to Heavy,1165 WALTON AV,1120,1120,1900,32,12
14463000130,-90.23901246,38.66789661,Destruction,4428 ASHLAND AV,1010,1010,0,0,11
13710020160,-90.24330961,38.66756638,Moderate,4534 GREER AV,1110,1110,1911,31,10
14463000170,-90.2387684,38.66780607,Very Heavy,4418 ASHLAND AV,1120,1120,1914,31,11
13771000450,-90.25683932,38.65691628,Moderate,1163 WALTON AV,1120,1120,1908,31,12
13710020340,-90.243702,38.66708071,Moderate,4533 LABADIE AV,1110,1110,1972,32,4
13619000170,-90.23872313,38.66618486,Substantial to Heavy,3110 N NEWSTEAD AV,5000,5000,1919,43,3
13710020320,-90.24350065,38.66692652,Negligible to Slight,4527 LABADIE AV,1110,1110,1896,31,9
13771000470,-90.25727353,38.65686728,Moderate,1157 WALTON AV,1110,1110,1894,31,17
13619000170,-90.23876983,38.66627627,Very Heavy,3110 N NEWSTEAD AV,5000,5000,1919,43,11
13710020180,-90.2432031,38.66751879,Moderate,4528 GREER AV,1110,1110,1911,31,9
13619000200,-90.23862612,38.66639008,Moderate,3116-8 N NEWSTEAD AV,1120,1120,1892,31,7
13710020190,-90.24310452,38.66747377,Very Heavy,4526 GREER AV,1110,1110,1911,31,8
13771000460,-90.25683582,38.65681295,Moderate,1159 WALTON AV,1110,1110,1894,31,13
13619000230,-90.23848433,38.66662631,Substantial to Heavy,3124-6 N NEWSTEAD AV,1140,1140,1906,31,9
13771000470,-90.25687914,38.65676488,Moderate,1157 WALTON AV,1110,1110,1894,31,12
13710020310,-90.24339988,38.66690623,Moderate,4523 LABADIE AV,1120,1120,1896,31,7
13619000420,-90.23750534,38.66678904,Very Heavy,3129 VINE GROVE AV,1110,1110,1949,31,3
13619000430,-90.23762291,38.66668099,Very Heavy,3127 VINE GROVE AV,1110,1110,1885,31,9
13710020260,-90.24278669,38.66673702,Negligible to Slight,3009 N TAYLOR AV,1110,1110,1915,31,6
13771000480,-90.25692239,38.65668831,Moderate,1153 WALTON AV,1110,1110,1928,31,10
13710020260,-90.24272873,38.66678854,Moderate,3009 N TAYLOR AV,1110,1110,1915,31,8
13620000160,-90.23758936,38.66586416,Negligible to Slight,3050 VINE GROVE AV,1110,1110,1940,31,14
13771000110,-90.25773854,38.65697924,Substantial to Heavy,1152-4 BAYARD AV,1140,1140,1898,31,9
13710020290,-90.24289896,38.66658692,Negligible to Slight,3001 N TAYLOR AV,1110,1110,1964,31,5
13620000130,-90.23774628,38.66564114,Very Heavy,3038 VINE GROVE AV,1110,1110,1940,31,14
13620000150,-90.23764007,38.66577968,Negligible to Slight,3044 VINE GROVE AV,1010,1010,0,0,14
13771000085,-90.25776085,38.65663627,Moderate,1134 BAYARD AV,5000,5000,1995,43,8
13620000250,-90.23688471,38.66699423,Very Heavy,4328 ASHLAND AV,1110,1110,1909,31,8
13771000040,-90.25794005,38.65643959,Substantial to Heavy,1128 BAYARD AV,1010,1010,0,0,14
13620000390,-90.23680538,38.66579407,Negligible to Slight,3111 CLARENCE AV,1110,1110,1958,31,1
13620000380,-90.23673412,38.66592854,Negligible to Slight,3115 CLARENCE AV,1110,1110,1958,31,4
13771000560,-90.25704049,38.65622027,Moderate,1131-5 WALTON AV,1185,1185,1896,42,7
13620000370,-90.23661913,38.6660968,Negligible to Slight,3119 CLARENCE AV,1110,1110,1958,31,4
13771000560,-90.25702414,38.6561149,Negligible to Slight,1131-5 WALTON AV,1185,1185,1896,42,11
13620000350,-90.23644898,38.66634406,Negligible to Slight,3127 CLARENCE AV,1110,1110,1958,31,4
13620000360,-90.23653143,38.66620474,Negligible to Slight,3123 CLARENCE AV,1110,1110,1958,31,3
13771000580,-90.25706774,38.65600188,Negligible to Slight,1127 WALTON AV,1110,1110,1897,31,8
14465000320,-90.23607175,38.66555119,Negligible to Slight,3111 MARNICE PL,1110,1110,1930,31,3
14465000130,-90.23644327,38.6656521,Negligible to Slight,3110 CLARENCE AV,1110,1110,1958,31,4
13771000030,-90.257586,38.65606503,Negligible to Slight,1126 BAYARD AV,1010,1010,0,0,15
14465000140,-90.23636616,38.66577409,Negligible to Slight,3114 CLARENCE AV,1110,1110,1958,31,6
13771000010,-90.25797006,38.65607036,Moderate,1118-20 BAYARD AV,1140,1140,1917,31,13
14465000150,-90.23628963,38.66593196,Moderate,3118 CLARENCE AV,1110,1110,1958,31,8
